shutter_time,counts
1.11333e-05,27
2.22667e-05,42
3.34e-05,36
4.45333e-05,46
5.56667e-05,44
6.68e-05,57
7.79333e-05,39
8.90667e-05,47
0.0001002,28
0.000111333,52
0.000122467,40
0.0001336,42
0.000144733,39
0.000155867,38
0.000167,44
0.000178133,46
0.000189267,35
0.0002004,45
0.000211533,35
0.000222667,36
0.0002338,36
0.000244933,35
0.000256067,22
0.0002672,24
0.000278333,25
0.000289467,22
0.0003006,19
0.000311733,27
0.000322867,27
0.000334,23
0.000345133,33
0.000356267,18
0.0003674,21
0.000378533,18
0.000389667,21
0.0004008,22
0.000411933,22
0.000423067,25
0.0004342,17
0.000445333,17
0.000456467,16
0.0004676,28
0.000478733,19
0.000489867,27
0.000501,20
0.000512133,25
0.000523267,27
0.0005344,17
0.000545533,13
0.000556667,34
0.0005678,19
0.000578933,33
0.000590067,20
0.0006012,19
0.000612333,22
0.000623467,25
0.0006346,18
0.000645733,22
0.000656867,37
0.000668,26
0.000679133,28
0.000690267,21
0.0007014,26
0.000712533,25
0.000723667,26
0.0007348,21
0.000745933,17
0.000757067,18
0.0007682,20
0.000779333,18
0.000790467,20
0.0008016,24
0.000812733,18
0.000823867,27
0.000835,29
0.000846133,18
0.000857267,24
0.0008684,19
0.000879533,19
0.000890667,29
0.0009018,27
0.000912933,30
0.000924067,26
0.0009352,29
0.000946333,21
0.000957467,26
0.0009686,21
0.000979733,22
0.000990867,23
0.001002,29
0.00101313,25
0.00102427,20
0.0010354,26
0.00104653,15
0.00105767,12
0.0010688,18
0.00107993,24
0.00109107,27
0.0011022,20
0.00111333,34
0.00112447,22
0.0011356,22
0.00114673,16
0.00115787,21
0.001169,24
0.00118013,23
0.00119127,30
0.0012024,22
0.00121353,24
0.00122467,24
0.0012358,26
0.00124693,26
0.00125807,22
0.0012692,17
0.00128033,25
0.00129147,15
0.0013026,19
0.00131373,18
0.00132487,28
0.001336,27
0.00134713,20
0.00135827,22
0.0013694,24
0.00138053,28
0.00139167,29
0.0014028,16
0.00141393,20
0.00142507,21
0.0014362,26
0.00144733,17
0.00145847,29
0.0014696,24
0.00148073,25
0.00149187,23
0.001503,24
0.00151413,24
0.00152527,23
0.0015364,22
0.00154753,16
0.00155867,31
0.0015698,14
0.00158093,25
0.00159207,21
0.0016032,25
0.00161433,18
0.00162547,18
0.0016366,33
0.00164773,17
0.00165887,18
0.00167,15
0.00168113,14
0.00169227,27
0.0017034,19
0.00171453,17
0.00172567,19
0.0017368,28
0.00174793,30
0.00175907,23
