TOF(ms)	Counts
0.015009	136
0.025015	113
0.035021	143
0.045027	124
0.055033	105
0.065039	119
0.075045	156
0.085051	141
0.095057	151
0.105063	123
0.115069	143
0.125075	152
0.135081	144
0.145087	116
0.155093	147
0.165099	136
0.175105	123
0.185111	128
0.195117	113
0.205123	128
0.215129	126
0.225135	107
0.235141	149
0.245147	132
0.255153	144
0.265159	163
0.275165	118
0.285171	134
0.295177	111
0.305183	115
0.315189	137
0.325195	141
0.335201	135
0.345207	159
0.355213	118
0.365219	166
0.375225	114
0.385231	129
0.395237	114
0.405243	129
0.415249	140
0.425255	139
0.435261	140
0.445267	116
0.455273	130
0.465279	136
0.475285	120
0.485291	115
0.495297	106
0.505303	95
0.515309	127
0.525315	113
0.535321	126
0.545327	119
0.555333	133
0.565339	120
0.575345	135
0.585351	145
0.595357	120
0.605362	126
0.615368	131
0.625374	104
0.635380	161
0.645386	125
0.655392	126
0.665398	161
0.675404	133
0.685410	118
0.695416	97
0.705422	145
0.715428	144
0.725434	103
0.735440	155
0.745446	92
0.755452	131
0.765458	108
0.775464	135
0.785470	125
0.795476	123
0.805482	113
0.815488	116
0.825494	130
0.835500	138
0.845506	132
0.855512	124
0.865518	123
0.875524	144
0.885530	125
0.895536	129
0.905542	118
0.915548	139
0.925554	98
0.935560	137
0.945566	117
0.955572	140
0.965578	137
0.975584	133
0.985590	127
0.995596	112
1.005602	114
1.015608	152
1.025614	125
1.035620	129
1.045626	112
1.055632	110
1.065638	121
1.075644	149
1.085650	128
1.095656	137
1.105662	111
1.115668	126
1.125674	118
1.135680	144
1.145686	137
1.155692	131
1.165698	129
1.175704	130
1.185710	139
1.195716	107
1.205722	118
1.215728	110
1.225734	135
1.235740	148
1.245746	119
1.255752	97
1.265758	130
1.275764	136
1.285770	154
1.295776	131
1.305782	144
1.315788	107
1.325794	128
1.335800	120
1.345806	151
1.355812	134
1.365818	125
1.375824	145
1.385830	117
1.395836	143
1.405842	135
1.415848	107
1.425854	114
1.435860	171
1.445866	107
1.455872	147
1.465878	136
1.475884	123
1.485890	127
1.495896	178
1.505902	111
1.515908	130
1.525914	130
1.535920	136
1.545926	132
1.555932	118
1.565938	129
1.575944	127
1.585950	110
1.595956	141
1.605962	137
1.615968	114
1.625974	127
1.635980	119
1.645986	136
1.655992	148
1.665998	122
1.676004	124
1.686010	138
1.696016	119
1.706022	102
1.716028	152
1.726034	103
1.736040	112
1.746046	120
1.756052	141
1.766058	121
1.776064	142
1.786070	100
1.796075	117
1.806081	152
1.816087	112
1.826093	157
1.836099	111
1.846105	113
1.856111	119
1.866117	129
1.876123	127
1.886129	103
1.896135	148
1.906141	163
1.916147	145
1.926153	129
1.936159	139
1.946165	129
1.956171	139
1.966177	109
1.976183	133
1.986189	123
1.996195	140
2.006201	99
2.016207	140
2.026213	139
2.036219	137
2.046225	160
2.056231	118
2.066237	137
2.076243	117
2.086249	111
2.096255	123
2.106261	131
2.116267	140
2.126273	130
2.136279	140
2.146285	168
2.156291	124
2.166297	124
2.176303	118
2.186309	137
2.196315	127
2.206321	111
2.216327	121
2.226333	122
2.236339	129
2.246345	121
2.256351	159
2.266357	148
2.276363	136
2.286369	137
2.296375	112
2.306381	128
2.316387	169
2.326393	136
2.336399	133
2.346405	145
2.356411	120
2.366417	161
2.376423	130
2.386429	133
2.396435	122
2.406441	137
2.416447	144
2.426453	117
2.436459	110
2.446465	124
2.456471	132
2.466477	125
2.476483	123
2.486489	156
2.496495	108
2.506501	127
2.516507	147
2.526513	116
2.536519	155
2.546525	128
2.556531	117
2.566537	139
2.576543	107
2.586549	135
2.596555	112
2.606561	133
2.616567	146
2.626573	120
2.636579	107
2.646585	127
2.656591	141
2.666597	121
2.676603	143
2.686609	137
2.696615	120
2.706621	119
2.716627	118
2.726633	170
2.736639	129
2.746645	139
2.756651	132
2.766657	132
2.776663	146
2.786669	120
2.796675	130
2.806681	153
2.816687	132
2.826693	115
2.836699	136
2.846705	137
2.856711	147
2.866717	132
2.876723	131
2.886729	128
2.896735	112
2.906741	121
2.916747	142
2.926753	147
2.936759	139
2.946765	122
2.956771	154
2.966777	132
2.976783	133
2.986788	126
2.996794	134
3.006800	138
3.016806	133
3.026812	122
3.036818	137
3.046824	119
3.056830	127
3.066836	163
3.076842	124
3.086848	124
3.096854	134
3.106860	131
3.116866	129
3.126872	128
3.136878	106
3.146884	127
3.156890	142
3.166896	135
3.176902	132
3.186908	150
3.196914	148
3.206920	131
3.216926	130
3.226932	135
3.236938	139
3.246944	130
3.256950	140
3.266956	150
3.276962	139
3.286968	128
3.296974	138
3.306980	118
3.316986	113
3.326992	114
3.336998	160
3.347004	135
3.357010	118
3.367016	139
3.377022	125
3.387028	129
3.397034	88
3.407040	149
3.417046	133
3.427052	155
3.437058	116
3.447064	127
3.457070	99
3.467076	130
3.477082	120
3.487088	141
3.497094	134
3.507100	134
3.517106	131
3.527112	117
3.537118	145
3.547124	120
3.557130	135
3.567136	112
3.577142	131
3.587148	159
3.597154	147
3.607160	137
3.617166	101
3.627172	132
3.637178	127
3.647184	123
3.657190	142
3.667196	160
3.677202	120
3.687208	162
3.697214	102
3.707220	109
3.717226	142
3.727232	160
3.737238	150
3.747244	112
3.757250	124
3.767256	109
3.777262	136
3.787268	116
3.797274	124
3.807280	158
3.817286	143
3.827292	129
3.837298	140
3.847304	143
3.857310	118
3.867316	127
3.877322	161
3.887328	133
3.897334	134
3.907340	130
3.917346	116
3.927352	146
3.937358	138
3.947364	125
3.957370	108
3.967376	121
3.977382	106
3.987388	129
3.997394	129
4.007400	141
4.017406	138
4.027412	100
4.037418	117
4.047424	121
4.057430	120
4.067436	122
4.077442	103
4.087448	148
4.097454	140
4.107460	140
4.117466	105
4.127472	132
4.137478	130
4.147484	134
4.157490	111
4.167496	117
4.177501	129
4.187507	125
4.197513	102
4.207519	124
4.217525	125
4.227531	142
4.237537	116
4.247543	120
4.257549	114
4.267555	147
4.277561	137
4.287567	135
4.297573	168
4.307579	152
4.317585	162
4.327591	133
4.337597	141
4.347603	147
4.357609	109
4.367615	135
4.377621	128
4.387627	142
4.397633	133
4.407639	164
4.417645	125
4.427651	124
4.437657	114
4.447663	127
4.457669	149
4.467675	103
4.477681	132
4.487687	125
4.497693	141
4.507699	114
4.517705	135
4.527711	117
4.537717	124
4.547723	124
4.557729	114
4.567735	135
4.577741	138
4.587747	118
4.597753	134
4.607759	144
4.617765	120
4.627771	138
4.637777	118
4.647783	156
4.657789	132
4.667795	120
4.677801	115
4.687807	133
4.697813	156
4.707819	138
4.717825	136
4.727831	126
4.737837	151
4.747843	121
4.757849	148
4.767855	147
4.777861	116
4.787867	122
4.797873	133
4.807879	140
4.817885	115
4.827891	156
4.837897	124
4.847903	158
4.857909	160
4.867915	150
4.877921	121
4.887927	94
4.897933	138
4.907939	129
4.917945	128
4.927951	147
4.937957	143
4.947963	122
4.957969	133
4.967975	157
4.977981	114
4.987987	130
4.997993	146
5.007999	149
5.018005	138
5.028011	121
5.038017	145
5.048023	156
5.058029	135
5.068035	127
5.078041	146
5.088047	127
5.098053	127
5.108059	110
5.118065	121
5.128071	147
5.138077	112
5.148083	159
5.158089	154
5.168095	139
5.178101	121
5.188107	113
5.198113	126
5.208119	159
5.218125	143
5.228131	126
5.238137	154
5.248143	117
5.258149	121
5.268155	153
5.278161	171
5.288167	156
5.298173	132
5.308179	134
5.318185	137
5.328191	125
5.338197	140
5.348203	125
5.358209	141
5.368214	127
5.378220	141
5.388226	148
5.398232	133
5.408238	111
5.418244	126
5.428250	126
5.438256	135
5.448262	153
5.458268	123
5.468274	131
5.478280	117
5.488286	145
5.498292	145
5.508298	127
5.518304	132
5.528310	140
5.538316	138
5.548322	116
5.558328	125
5.568334	129
5.578340	131
5.588346	121
5.598352	140
5.608358	136
5.618364	113
5.628370	132
5.638376	122
5.648382	120
5.658388	134
5.668394	137
5.678400	126
5.688406	129
5.698412	126
5.708418	137
5.718424	147
5.728430	113
5.738436	109
5.748442	124
5.758448	96
5.768454	104
5.778460	111
5.788466	113
5.798472	120
5.808478	142
5.818484	149
5.828490	111
5.838496	128
5.848502	130
5.858508	164
5.868514	119
5.878520	122
5.888526	148
5.898532	140
5.908538	108
5.918544	146
5.928550	131
5.938556	144
5.948562	122
5.958568	145
5.968574	137
5.978580	134
5.988586	131
5.998592	132
6.008598	108
6.018604	142
6.028610	130
6.038616	131
6.048622	125
6.058628	127
6.068634	123
6.078640	125
6.088646	137
6.098652	132
6.108658	155
6.118664	107
6.128670	136
6.138676	135
6.148682	133
6.158688	93
6.168694	112
6.178700	174
6.188706	133
6.198712	141
6.208718	143
6.218724	153
6.228730	105
6.238736	140
6.248742	152
6.258748	125
6.268754	121
6.278760	126
6.288766	141
6.298772	131
6.308778	139
6.318784	141
6.328790	102
6.338796	124
6.348802	160
6.358808	138
6.368814	105
6.378820	131
6.388826	108
6.398832	113
6.408838	142
6.418844	163
6.428850	131
6.438856	131
6.448862	146
6.458868	121
6.468874	133
6.478880	130
6.488886	131
6.498892	111
6.508898	129
6.518904	130
6.528910	139
6.538916	144
6.548922	99
6.558928	104
6.568933	121
6.578939	139
6.588945	141
6.598951	142
6.608957	163
6.618963	143
6.628969	153
6.638975	124
6.648981	117
6.658987	132
6.668993	105
6.678999	103
6.689005	151
6.699011	123
6.709017	138
6.719023	138
6.729029	149
6.739035	147
6.749041	130
6.759047	137
6.769053	120
6.779059	102
6.789065	138
6.799071	121
6.809077	158
6.819083	121
6.829089	118
6.839095	146
6.849101	126
6.859107	96
6.869113	130
6.879119	124
6.889125	146
6.899131	129
6.909137	135
6.919143	102
6.929149	147
6.939155	121
6.949161	122
6.959167	136
6.969173	147
6.979179	153
6.989185	122
6.999191	127
7.009197	136
7.019203	127
7.029209	140
7.039215	108
7.049221	118
7.059227	131
7.069233	148
7.079239	140
7.089245	113
7.099251	148
7.109257	132
7.119263	127
7.129269	125
7.139275	111
7.149281	123
7.159287	131
7.169293	138
7.179299	125
7.189305	145
7.199311	108
7.209317	133
7.219323	103
7.229329	149
7.239335	149
7.249341	137
7.259347	117
7.269353	145
7.279359	127
7.289365	137
7.299371	122
7.309377	143
7.319383	146
7.329389	134
7.339395	130
7.349401	145
7.359407	108
7.369413	145
7.379419	152
7.389425	129
7.399431	140
7.409437	136
7.419443	130
7.429449	139
